QID,SSID,Wordnet Lemmas,Wikidata Labels,Count,Accept,Notes,Extra Type
http://www.wikidata.org/entity/Q33837,https://en-word.net/id/oewn-09357302-n,"land, dry land, earth, ground, solid ground, terra firma","archipelago, island group, islands",42,FALSE,,
http://www.wikidata.org/entity/Q33837,https://en-word.net/id/oewn-09226715-n,archipelago,"archipelago, island group, islands",32,TRUE,,
http://www.wikidata.org/entity/Q33837,https://en-word.net/id/oewn-09339360-n,island,"archipelago, island group, islands",10,FALSE,,
http://www.wikidata.org/entity/Q17149090,https://en-word.net/id/oewn-07967506-n,social group,"armed organization, armed organisation, militant organization",20,FALSE,,
http://www.wikidata.org/entity/Q17149090,https://en-word.net/id/oewn-00031563-n,"group, grouping","armed organization, armed organisation, militant organization",20,FALSE,,
http://www.wikidata.org/entity/Q17149090,https://en-word.net/id/oewn-08409094-n,"terrorist organization, terrorist group, foreign terrorist organization, FTO","armed organization, armed organisation, militant organization",17,FALSE,,
http://www.wikidata.org/entity/Q17149090,https://en-word.net/id/oewn-08489346-n,political movement,"armed organization, armed organisation, militant organization",17,FALSE,,
http://www.wikidata.org/entity/Q17149090,https://en-word.net/id/oewn-08481612-n,"movement, social movement, front","armed organization, armed organisation, militant organization",17,TRUE,,
http://www.wikidata.org/entity/Q968159,https://en-word.net/id/oewn-08483654-n,"artistic movement, art movement","art movement, artistic movement",5,TRUE,,
http://www.wikidata.org/entity/Q968159,https://en-word.net/id/oewn-08481612-n,"movement, social movement, front","art movement, artistic movement",5,FALSE,,
http://www.wikidata.org/entity/Q968159,https://en-word.net/id/oewn-07967506-n,social group,"art movement, artistic movement",5,FALSE,,
http://www.wikidata.org/entity/Q968159,https://en-word.net/id/oewn-00031563-n,"group, grouping","art movement, artistic movement",5,FALSE,,
http://www.wikidata.org/entity/Q2154519,https://en-word.net/id/oewn-00019308-n,natural object,"astrophysical X-ray source, X-ray source",17,FALSE,,
http://www.wikidata.org/entity/Q2154519,https://en-word.net/id/oewn-00003553-n,"whole, unit","astrophysical X-ray source, X-ray source",17,FALSE,,
http://www.wikidata.org/entity/Q2154519,https://en-word.net/id/oewn-09467004-n,star,"astrophysical X-ray source, X-ray source",16,TRUE,,
http://www.wikidata.org/entity/Q2154519,https://en-word.net/id/oewn-09262646-n,"celestial body, heavenly body","astrophysical X-ray source, X-ray source",16,FALSE,,
http://www.wikidata.org/entity/Q2154519,https://en-word.net/id/oewn-09243977-n,"binary star, binary, double star","astrophysical X-ray source, X-ray source",6,FALSE,,
http://www.wikidata.org/entity/Q1710033,https://en-word.net/id/oewn-08821234-n,Italian region,"autonomous region with special statute, Italian autonomous region with special statute, Italian autonomous regions with special statute",5,TRUE,,
http://www.wikidata.org/entity/Q1710033,https://en-word.net/id/oewn-08671935-n,"state, province","autonomous region with special statute, Italian autonomous region with special statute, Italian autonomous regions with special statute",5,FALSE,,
http://www.wikidata.org/entity/Q1710033,https://en-word.net/id/oewn-08508836-n,"administrative district, administrative division, territorial division","autonomous region with special statute, Italian autonomous region with special statute, Italian autonomous regions with special statute",5,FALSE,,
http://www.wikidata.org/entity/Q1710033,https://en-word.net/id/oewn-08569713-n,"district, territory, territorial dominion, dominion","autonomous region with special statute, Italian autonomous region with special statute, Italian autonomous regions with special statute",5,FALSE,,
http://www.wikidata.org/entity/Q1710033,https://en-word.net/id/oewn-08648560-n,region,"autonomous region with special statute, Italian autonomous region with special statute, Italian autonomous regions with special statute",5,FALSE,,
http://www.wikidata.org/entity/Q1710033,https://en-word.net/id/oewn-00027365-n,location,"autonomous region with special statute, Italian autonomous region with special statute, Italian autonomous regions with special statute",5,FALSE,,
http://www.wikidata.org/entity/Q178561,https://en-word.net/id/oewn-00030657-n,"act, deed, human action, human activity","battle, combat, ⚔",115,FALSE,,
http://www.wikidata.org/entity/Q178561,https://en-word.net/id/oewn-00029677-n,event,"battle, combat, ⚔",115,FALSE,,
http://www.wikidata.org/entity/Q178561,https://en-word.net/id/oewn-00038116-n,action,"battle, combat, ⚔",106,FALSE,,
http://www.wikidata.org/entity/Q178561,https://en-word.net/id/oewn-00955074-n,"military action, action","battle, combat, ⚔",105,FALSE,,
http://www.wikidata.org/entity/Q178561,https://en-word.net/id/oewn-01082290-n,group action,"battle, combat, ⚔",105,FALSE,,
http://www.wikidata.org/entity/Q178561,https://en-word.net/id/oewn-00955670-n,"battle, conflict, fight, engagement","battle, combat, ⚔",96,TRUE,,
http://www.wikidata.org/entity/Q178561,https://en-word.net/id/oewn-00958596-n,pitched battle,"battle, combat, ⚔",89,FALSE,,
http://www.wikidata.org/entity/Q178561,https://en-word.net/id/oewn-00957171-n,"operation, military operation","battle, combat, ⚔",10,FALSE,,
http://www.wikidata.org/entity/Q178561,https://en-word.net/id/oewn-00408356-n,activity,"battle, combat, ⚔",10,FALSE,,
http://www.wikidata.org/entity/Q178561,https://en-word.net/id/oewn-01077041-n,"siege, besieging, beleaguering, military blockade","battle, combat, ⚔",9,FALSE,,
http://www.wikidata.org/entity/Q178561,https://en-word.net/id/oewn-00956197-n,"blockade, encirclement","battle, combat, ⚔",9,FALSE,,
http://www.wikidata.org/entity/Q178561,https://en-word.net/id/oewn-00983455-n,amphibious assault,"battle, combat, ⚔",8,FALSE,,
