Taxon,Name,Definition,OEWN,Taxon,Name,Definition,Wikidata QID,Type,Accept,Notes
class,Taxopsida,yews: in some systems classified as a class (Taxopsida) and in others as a subdivision (Taxophytina) used in some classifications for one of five subdivisions of Gymnospermophyta,https://en-word.net/id/oewn-11680988-n,class,Taxopsida,class of plants,https://www.wikidata.org/entity/Q99048207,Exact,TRUE,
order,Taxales,coextensive with the family Taxaceae: yews,https://en-word.net/id/oewn-11681299-n,order,Taxales,order of plants,https://www.wikidata.org/entity/Q2697797,Exact,TRUE,
family,Taxaceae,sometimes classified as member of order Taxales,https://en-word.net/id/oewn-11681430-n,family,Taxaceae,family of plants,https://www.wikidata.org/entity/Q223751,Exact,TRUE,
genus,Taxus,yews,https://en-word.net/id/oewn-11681658-n,genus,Taxus,name that may not be used,https://www.wikidata.org/entity/Q122829901,Conflict,FALSE,
genus,Taxus,yews,https://en-word.net/id/oewn-11681658-n,genus,Taxus,genus of plants or tree,https://www.wikidata.org/entity/Q27355,Conflict,TRUE,
genus,Austrotaxus,a gymnosperm genus having one species: New Caledonian yew,https://en-word.net/id/oewn-11683215-n,genus,Austrotaxus,genus of plants,https://www.wikidata.org/entity/Q13052844,Exact,TRUE,
genus,Pseudotaxus,"a genus containing Pseudotaxus chienii, or the white-berry yew (Pseudotaxus)",https://en-word.net/id/oewn-11683587-n,genus,Pseudotaxus,genus of plants,https://www.wikidata.org/entity/Q13080832,Exact,TRUE,
order,Ginkgoales,coextensive with the family Ginkgoaceae: plants that first appeared in the Permian and now represented by a single surviving species; often included in Coniferales,https://en-word.net/id/oewn-11684264-n,order,Ginkgoales,order of plants,https://www.wikidata.org/entity/Q835097,Exact,TRUE,
family,Ginkgoaceae,constituting the order Ginkgoales; includes the genus Ginkgo and extinct forms,https://en-word.net/id/oewn-11684541-n,family,Ginkgoaceae,family of plants,https://www.wikidata.org/entity/Q843349,Exact,TRUE,
genus,Ginkgo,sole surviving genus of the Ginkgoaceae,https://en-word.net/id/oewn-11684752-n,genus,Ginkgo,genus of plants,https://www.wikidata.org/entity/Q149461,Exact,TRUE,
class,Magnoliopsida,"comprising seed plants that produce an embryo with paired cotyledons and net-veined leaves; divided into six (not always well distinguished) subclasses (or superorders): Magnoliidae and Hamamelidae (considered primitive), Caryophyllidae (an early and distinctive offshoot), and three more or less advanced groups: Dilleniidae, Rosidae, Asteridae",https://en-word.net/id/oewn-11686232-n,class,Magnoliopsida,class of plants,https://www.wikidata.org/entity/Q1307404,Conflict,TRUE,
class,Dicotyledones,"comprising seed plants that produce an embryo with paired cotyledons and net-veined leaves; divided into six (not always well distinguished) subclasses (or superorders): Magnoliidae and Hamamelidae (considered primitive), Caryophyllidae (an early and distinctive offshoot), and three more or less advanced groups: Dilleniidae, Rosidae, Asteridae",https://en-word.net/id/oewn-11686232-n,class,Dicotyledones,historical grouping of flowering plants,https://www.wikidata.org/entity/Q8316,Conflict,FALSE,secondary
